Q1a:Are you generally satisfied with your overall experience of roads on the Ugandan road network?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,,,,,,,Age bracket,,,,,,,,,,,,,,,
,,,31%,25%,22%,37%,35%,36%,25%,26%,24%,24%,23%,38%,36%,35%,44%,39%,35%,38%,38%,38%,43%,23%,15%,38%,33%,28%,33%,60%,25%,20%,15%,38%,45%,35%,20%,39%,40%,35%,28%,31%,30%,18%,38%,15%,23%,33%,33%,30%,23%,20%,23%,28%,28%,25%,28%,20%,20%,28%,25%,13%,13%,25%,20%,23%,38%,35%,25%,23%,50%,48%,38%,28%,30%,60%,33%,35%,15%,38%,23%,48%,38%,20%,38%,58%,35%,43%,30%,38%,40%,38%,20%,33%,40%,38%,53%,43%,33%,43%,40%,20%,20%,27%,32%,33%,31%,32%,31%,27%,32%,33%,31%,32%,31%,33%,33%,29%,32%,26%,27%,37%,0%,33%,33%,29%,32%,26%,27%,37%,0%
,Very satisfied,,75,17,14,6,15,23,9,9,6,2,0,0,1,0,2,4,3,1,2,1,0,1,0,3,1,0,1,1,3,0,2,2,10,4,2,5,0,45,30,65,10,1,2,0,1,2,1,5,0,1,2,0,2,3,3,1,0,1,3,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,1,0,0,3,1,3,2,0,1,1,3,0,0,1,2,0,1,0,3,2,6,2,4,2,0,1,2,12,12,12,11,15,13,12,12,12,11,15,13,15,20,10,6,17,4,3,0,15,20,10,6,17,4,3,0
,,,3%,4%,3%,1%,3%,5%,6%,2%,5%,3%,0%,0%,1%,0%,3%,3%,8%,3%,5%,3%,0%,3%,0%,8%,3%,0%,1%,3%,8%,0%,2%,3%,8%,5%,3%,6%,0%,4%,3%,3%,4%,3%,5%,0%,3%,5%,3%,13%,0%,3%,5%,0%,5%,8%,8%,3%,0%,3%,8%,0%,0%,0%,0%,3%,0%,0%,3%,0%,5%,0%,0%,0%,3%,3%,3%,0%,0%,8%,3%,8%,5%,0%,3%,3%,8%,0%,0%,3%,5%,0%,3%,0%,8%,5%,15%,5%,10%,5%,0%,3%,5%,3%,3%,3%,3%,4%,3%,3%,3%,3%,3%,4%,3%,3%,3%,2%,2%,6%,6%,10%,0%,3%,3%,2%,2%,6%,6%,10%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q1d:If you think your experience when using using ugandan roads has either improved significantly or improved over the past 12months, Why do you think this is?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,,,,,,,,,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA,,,,,,,,,,,,,,
Total,,,1792,361,366,368,364,333,121,319,91,56,24,29,63,27,69,123,36,28,34,30,32,24,24,33,34,32,56,34,37,26,77,58,96,71,28,53,27,928,864,1629,163,27,27,30,28,34,34,32,32,33,25,31,38,23,31,32,37,24,37,28,21,35,26,34,29,27,30,24,37,33,32,32,26,34,34,30,24,33,24,37,34,23,30,35,36,32,28,28,30,35,16,21,25,28,32,34,36,37,27,12,28,316,273,299,323,300,281,323,529,358,293,214,53,21,1,,,,,,,,,,,,,,
,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,
,Roads are tarmacked,,448,86,48,58,171,85,33,68,9,5,5,1,15,4,14,69,21,11,10,16,14,3,7,20,3,4,6,6,7,4,8,14,30,15,7,11,8,254,194,404,44,8,6,11,9,5,5,9,6,10,8,9,6,1,3,3,5,2,7,3,5,3,4,6,1,4,8,5,12,7,2,4,3,6,3,3,7,20,3,23,10,14,16,14,21,14,18,11,5,4,4,3,6,5,13,12,11,11,8,3,0,76,70,71,91,73,67,78,141,95,62,55,13,4,0,,,,,,,,,,,,,,
,,,25%,24%,13%,16%,47%,26%,27%,21%,10%,9%,21%,3%,24%,15%,20%,56%,58%,39%,29%,53%,44%,13%,29%,61%,9%,13%,11%,18%,19%,15%,10%,24%,31%,21%,25%,21%,30%,27%,22%,25%,27%,30%,22%,37%,32%,15%,15%,28%,19%,30%,32%,29%,16%,4%,10%,9%,14%,8%,19%,11%,24%,9%,15%,18%,3%,15%,27%,21%,32%,21%,6%,13%,12%,18%,9%,10%,29%,61%,13%,62%,29%,61%,53%,40%,58%,44%,64%,39%,17%,11%,25%,14%,24%,18%,41%,35%,31%,30%,30%,25%,0%,24%,26%,24%,28%,24%,24%,24%,27%,27%,21%,26%,25%,19%,0%,,,,,,,,,,,,,,
,More roads have been constructed,,881,182,146,199,172,182,60,161,35,19,16,16,43,12,42,45,23,11,25,16,16,15,11,10,18,14,28,10,15,6,32,29,53,43,17,28,12,443,438,801,80,11,15,13,16,15,16,20,16,16,12,19,17,8,14,9,13,10,15,9,10,15,6,20,16,12,19,16,23,24,19,14,14,10,18,14,11,10,15,12,25,10,16,14,23,16,9,11,14,21,10,9,12,16,16,23,22,20,12,7,13,164,125,146,163,152,131,145,255,191,145,111,23,11,0,,,,,,,,,,,,,,
,,,49%,50%,40%,54%,47%,55%,50%,50%,38%,34%,67%,55%,68%,44%,61%,37%,64%,39%,74%,53%,50%,63%,46%,30%,53%,44%,50%,29%,41%,23%,42%,50%,55%,61%,61%,53%,44%,48%,51%,49%,49%,41%,56%,43%,57%,44%,47%,63%,50%,48%,48%,61%,45%,35%,45%,28%,35%,42%,41%,32%,48%,43%,23%,59%,55%,44%,63%,67%,62%,73%,59%,44%,54%,29%,53%,47%,46%,30%,63%,32%,74%,43%,53%,40%,64%,50%,32%,39%,47%,60%,63%,43%,48%,57%,50%,68%,61%,54%,44%,58%,46%,52%,46%,49%,50%,51%,47%,45%,48%,53%,49%,52%,43%,52%,0%,,,,,,,,,,,,,,
,No pot holes/filled pot holes,,223,66,58,44,26,29,24,51,17,10,1,5,10,3,5,7,1,5,2,1,4,4,1,1,4,3,6,7,4,7,11,9,8,7,1,4,0,127,96,198,25,5,6,11,4,7,8,6,7,5,0,3,4,7,5,6,5,4,4,4,3,6,7,3,5,3,5,1,1,5,4,3,2,7,4,4,1,1,4,3,2,0,1,4,1,4,0,5,4,4,0,3,2,2,4,0,3,6,0,1,4,28,36,38,38,44,39,46,59,50,38,23,6,1,0,,,,,,,,,,,,,,
,,,12%,18%,16%,12%,7%,9%,20%,16%,19%,18%,4%,17%,16%,11%,7%,6%,3%,18%,6%,3%,13%,17%,4%,3%,12%,9%,11%,21%,11%,27%,14%,16%,8%,10%,4%,8%,0%,14%,11%,12%,15%,19%,22%,37%,14%,21%,24%,19%,22%,15%,0%,10%,11%,30%,16%,19%,14%,17%,11%,14%,14%,17%,27%,9%,17%,11%,17%,4%,3%,15%,13%,9%,8%,21%,12%,13%,4%,3%,17%,8%,6%,0%,3%,11%,3%,13%,0%,18%,13%,11%,0%,14%,8%,7%,13%,0%,8%,16%,0%,8%,14%,9%,13%,13%,12%,15%,14%,14%,11%,14%,13%,11%,11%,5%,0%,,,,,,,,,,,,,,
,Improved road signage,,119,28,23,16,24,28,9,25,4,3,0,2,3,1,1,12,5,1,1,1,0,1,1,2,1,1,5,2,3,0,7,7,9,6,0,4,2,66,53,110,9,2,4,3,1,4,3,0,2,5,2,0,4,0,3,2,1,1,3,3,2,3,0,1,2,1,0,0,1,3,0,1,2,2,1,3,1,2,1,2,1,1,1,5,5,0,4,1,3,0,0,1,0,4,3,3,6,6,2,0,2,28,17,19,23,20,12,26,39,20,17,11,4,1,1,,,,,,,,,,,,,,
,,,7%,8%,6%,4%,7%,8%,7%,8%,4%,5%,0%,7%,5%,4%,1%,10%,14%,4%,3%,3%,0%,4%,4%,6%,3%,3%,9%,6%,8%,0%,9%,12%,9%,8%,0%,8%,7%,7%,6%,7%,6%,7%,15%,10%,4%,12%,9%,0%,6%,15%,8%,0%,11%,0%,10%,6%,3%,4%,8%,11%,10%,9%,0%,3%,7%,4%,0%,0%,3%,9%,0%,3%,8%,6%,3%,10%,4%,6%,4%,5%,3%,4%,3%,14%,14%,0%,14%,4%,10%,0%,0%,5%,0%,14%,9%,9%,17%,16%,7%,0%,7%,9%,6%,6%,7%,7%,4%,8%,7%,6%,6%,5%,8%,5%,100%,,,,,,,,,,,,,,
,Strict road usage rules for boda bodas,,6,2,2,1,1,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,3,2,0,0,0,0,0,,,,,,,,,,,,,,
,,,%,1%,1%,%,%,0%,2%,%,0%,2%,0%,0%,2%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,%,%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,1%,1%,%,0%,%,1%,1%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,Good road network,,12,9,2,1,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,12,0,2,0,0,1,2,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,2,2,4,3,3,0,0,0,0,,,,,,,,,,,,,,
,,,1%,2%,1%,%,0%,0%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,%,1%,0%,7%,0%,0%,4%,6%,0%,6%,0%,3%,0%,3%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,%,1%,%,1%,1%,1%,1%,1%,0%,0%,0%,0%,,,,,,,,,,,,,,
,Roads have been tarmacked/more gravel roads,,79,14,8,21,22,14,2,12,4,1,2,6,1,6,1,5,1,1,1,2,1,5,3,3,2,2,1,0,1,0,2,5,3,0,1,4,1,25,54,72,7,0,1,0,3,0,2,0,2,1,2,3,0,1,0,1,3,0,1,2,0,0,0,0,6,6,0,2,0,1,1,2,1,0,2,0,3,3,5,2,1,1,2,0,1,1,2,1,0,0,0,1,1,3,2,1,0,4,1,1,0,9,13,9,18,12,18,19,23,18,7,9,2,1,0,,,,,,,,,,,,,,
,,,4%,4%,2%,6%,6%,4%,2%,4%,4%,2%,8%,21%,2%,22%,1%,4%,3%,4%,3%,7%,3%,21%,13%,9%,6%,6%,2%,0%,3%,0%,3%,9%,3%,0%,4%,8%,4%,3%,6%,4%,4%,0%,4%,0%,11%,0%,6%,0%,6%,3%,8%,10%,0%,4%,0%,3%,8%,0%,3%,7%,0%,0%,0%,0%,21%,22%,0%,8%,0%,3%,3%,6%,4%,0%,6%,0%,13%,9%,21%,5%,3%,4%,7%,0%,3%,3%,7%,4%,0%,0%,0%,5%,4%,11%,6%,3%,0%,11%,4%,8%,0%,3%,5%,3%,6%,4%,6%,6%,4%,5%,2%,4%,4%,5%,0%,,,,,,,,,,,,,,
,More street Lights on the roads,,10,6,2,1,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,3,10,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,1,3,4,2,1,0,0,0,0,,,,,,,,,,,,,,
